rowIndex, row, class
1, 195.82.31.125 - - [09/Mar/2004:22:03:09 -0500] "GET http://www.goldengate.hu/cgi-bin/top/topsites.cgi?an12 HTTP/1.0" 200 558 "http://Afrique" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", n
2, 195.82.31.125 - - [09/Mar/2004:22:03:12 -0500] "POST http://www.goldengate.hu/cgi-bin/top/topsites.cgi HTTP/1.0" 302 284 "http://www.goldengate.hu/cgi-bin/top/topsites.cgi?an12" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", n
3, 195.82.31.125 - - [09/Mar/2004:22:03:15 -0500] "GET http://toplist.goldengate.hu/ HTTP/1.0" 200 992 "http://www.goldengate.hu/cgi-bin/top/topsites.cgi?an12" "Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)", n
4, 218.93.92.137 - - [09/Mar/2004:22:04:16 -0500] "GET http://xmlrevenue.com/s.php?username=jenneypan&keywords=Online+Gambling HTTP/1.1" 200 578 "http://www.myshoppingpage.com/index.htm" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)", n
5, 192.117.242.67 - - [09/Mar/2004:22:04:29 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
6, 192.117.242.67 - - [09/Mar/2004:22:04:29 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
8, 203.121.182.190 - - [09/Mar/2004:22:07:16 -0500] "\x04\x01" 501 - "-" "-", m
9, 61.172.244.109 - - [09/Mar/2004:22:08:13 -0500] "CONNECT 195.228.231.51:25 HTTP/1.0" 500 434 "-" "-", n
10, 203.61.199.63 - - [09/Mar/2004:22:08:53 -0500] "GET http://hpcgi1.com/trino/ProxyJ/prxjdg.cgi HTTP/1.0" 500 428 "-" "Mozilla/3.0 (compatible)", n
11, 203.121.182.141 - - [09/Mar/2004:22:09:34 -0500] "CONNECT 202.96.254.200:25 HTTP/1.0" 200 - "-" "-", n
12, 192.117.242.67 - - [09/Mar/2004:22:09:38 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
13, 192.117.242.67 - - [09/Mar/2004:22:09:38 -0500] "CONNECT login.icq.com:443 HTTP/1.0" 200 - "-" "-", n
14, 212.57.187.242 - - [09/Mar/2004:22:11:07 -0500] "GET http://www.ya.ru/ HTTP/1.1" 200 1346 "http://www.ya.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; MSIE 5.5; Windows NT 5.0) Opera 7.03  [en]", n
